ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2023-DTB922,"{คลอง,ถนน,แสงสว่าง}","เขตหนองจอก,การไฟฟ้านครหลวง เขตมีนบุรี,การไฟฟ้านครหลวง MEA",ถนนเลียบคลองลำตะเข้ตาย ไฟดับตลอดเส้น,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-07/4e07a7266cd157b864cb2aadfce9d5c10a216710.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-07/1689665769792.jpeg,"100.84198,13.83205",33/3 ถนนลำไทร แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,โคกแฝด,หนองจอก,กรุงเทพมหานคร,2023-07-12 13:58:24.907058+00:00,กำลังดำเนินการ,,0,2023-07-18 07:36:16.903232+00
4UZLB7,"{ถนน,แสงสว่าง}","เขตพระนคร,สำนักการโยธา กทม.,ฝ่ายโยธา เขตพระนคร","ปัญหา: ไฟส่องสว่างดับ มีไฟ 12 ดวง ดับ10 ดวง ติดเพียงแค่ 2 ดวง  ดับมาเป็นเดือนแล้ว
ถนน: ข้าวสาร
จุดสังเกต: เริ่มตั้งแต่ สน.ชนะสงคราม ไปจนถึง ถนนตะนาว
เขต: พระนคร
#1555",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-10/1698382142534.jpeg,,"100.49671,13.75916",117 ถ. ข้าวสาร แขวงตลาดยอด เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,ตลาดยอด,พระนคร,จังหวัดกรุงเทพมหานคร,2023-10-27 04:49:04.424807+00:00,กำลังดำเนินการ,,0,2023-10-27 06:46:26.877962+00
2022-DERWHC,{ท่อระบายน้ำ},"เขตจตุจักร,ฝ่ายโยธา เขตจตุจักร,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ฝาท่อระบายน้ำชำรุด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2710b9d55f1ff76f45de8c6336db7f526fcf3625.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/15ca1ce6383f74f9f31e4580e5f116d7922d2523.jpg,"100.56385,13.83235",393 ซอย พหลโยธิน 35 แยก 5-2-3 แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2022-06-24 01:51:21.144767+00:00,เสร็จสิ้น,5.0,0,2023-02-14 08:55:06.26427+00
2022-6RPZEK,{},"เขตประเวศ,ฝ่ายรักษาความสะอาดฯ เขตประเวศ,ผอ.เขตประเวศ (นายดิชา),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ขอบคุณครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/862cb5c509ca36efc188917499203504a1a8a261.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-08/de7f380db6fe1ba83f3b82d97fe68680d34fb6ae.jpg,"100.69877,13.69628",17 ถ. กาญจนาภิเษก แขวง ดอกไม้ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,ดอกไม้,ประเวศ,กรุงเทพมหานคร,2022-06-18 07:42:18.993421+00:00,เสร็จสิ้น,,0,2022-08-04 07:50:43.737552+00
2023-6AEP22,"{จราจร,ถนน,กีดขวาง}","เขตราชเทวี,สน.พญาไท,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 1 (บก.น.1)",แท็กซี่ สามล้อ ๆลๆ จอด ตรง ถนนเพชรบุรี อยู่เลย ซอยเพชรบุรี 15 เยื้อง ห้าง พันธุ์ทิพย์ ประตูน้ำ จอดกีดขวาง จราจร ป้ายรถเมล์,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-12/370103093bce1e7b47631db67f1b635101954c06.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-12/1702635591215.jpeg,"100.53714,13.75141",703/9 ถนน เพชรบุรี แขวง ถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,2023-12-14 03:09:31.038196+00:00,เสร็จสิ้น,,0,2023-12-15 10:19:52.599295+00
2022-6GELUL,{},"เขตบางบอน,สำนักการโยธา กทม.,ฝ่ายโยธา เขตบางบอน,ผอ.เขตบางบอน (นางทวีพร),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",ปรับปรุงแก้ไขสะพานข้ามคลอง แคบและสูงมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0101e24f58685e070ed58668f8a1fcfc0037c7f9.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/f65d4fc1bc440d9c499e227c0709d8959e841831.jpg,"100.41222,13.67903",165 ซอย เอกชัย 76 แขวง บางบอน เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,2022-06-04 18:48:17.572166+00:00,เสร็จสิ้น,5.0,0,2023-11-07 03:07:08.685475+00
2024-D4DMKX,{ทางเท้า},"เขตบางรัก,ฝ่ายเทศกิจ เขตบางรัก",เอาทางเท้าเป็นที่จอดรถ,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/aeb207aa54716eed7bbdd2903c4d588ae9df2f9b.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/2c619f5abb6a661f09987370ff4d8d2b.png,"100.51893,13.73556",138 2 ซอย สว่าง 6 แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,2024-03-14 02:16:29.060887+00:00,เสร็จสิ้น,5.0,0,2024-03-14 07:04:45.445557+00
2023-DB6WAV,{แสงสว่าง},"เขตธนบุรี,การไฟฟ้านครหลวง เขตยานนาวา,การไฟฟ้านครหลวง MEA",ไฟส่องสว่างริมถนนดับช่วยมาเปลี่ยนหลอดให้ด้วยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-09/3eab6540c5ccb5e2314a6d79369d34d3b15a7f3f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-09/1694579062757.jpeg,"100.48610,13.70563",บริษัท ยูกี้เวิลด์จักร แขวง สำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,บุคคโล,ธนบุรี,กรุงเทพมหานคร,2023-09-08 03:45:35.117514+00:00,เสร็จสิ้น,,0,2023-09-13 04:24:24.238258+00
YDWFTJ,{ถนน},"เขตลาดพร้าว,ฝ่ายโยธา เขตลาดพร้าว","ปัญหา:บ้านด้านหลังที่หลังบ้านติดกัน กั้นระแนงชิดเขตรั้วบ้านเกินไปหรือไม่ อยากให้เจ้าหน้าที่เข้าตรวจสอบ
จุดเกิดเหตุ:  บ้านเลขที่ 56 หมู่บ้านเอื้อประชา ถนนโชคชัย 4 ซอย 14 แขวงลาดพร้าว เขตลาดพร้าว
บ้านเลขที่:56
ซอย:โชคชัย 4 ซอย 14 
ถนน:โชคชัย 4
เขต:ลาดพร้าว
#1555",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-03/1677746428492.jpeg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-03/1678175142547.jpeg,"100.59763,13.80255",โชคชัย 4 ซอย 14  โชคชัย 4  ลาดพร้าว ลาดพร้าว กรุงเทพมหานคร : 13 โชคชัย 4 ซอย 14 แยก 4-1 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,จังหวัดกรุงเทพมหานคร,2023-03-02 08:40:31.187887+00:00,เสร็จสิ้น,,0,2023-03-07 07:45:44.167021+00
2022-7MVKXR,"{ถนน,ทางเท้า}","เขตจตุจักร,สำนักการโยธา กทม.,ฝ่ายโยธา เขตจตุจักร,การรถไฟแห่งประเทศไทย,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)","1. ไม่มีทางเท้าให้เดิน
2. ตาม VDO clip ที่แนบมาด้วย
3. ตำแหน่งบริเวณถนนกำแพงเพชร 2 ใต้ทางรถไฟฟ้าสายสีแดงของการรถไฟ",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4173e1ddad6062e1d6265394fc37ee7cca061f6a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/8840b4d6b6e04cfc3d4d5e82549405b976a66a71.jpg,"100.55032,13.82821",4/4 ถ. กำแพงเพชร 6 แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จตุจักร,กรุงเทพมหานคร,2022-06-03 03:16:16.064549+00:00,เสร็จสิ้น,1.0,0,2023-02-13 10:22:10.13124+00